Index,URL_ID,URL,Positive_score,Negative_score,Polarity_score,Subjectivity_score,Average_Sentence_Length,Percentage_of_Complex_words,Fog_Index,Average_number_of_words_per_sentence,complex_word_count,word_count,Syllable_Count_Per_Word,personal_pronoun_count,Avg_Word_length
0,123,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,80,23,0.553398053,0.012267747,12.5125,0.587412587,5.239965035,12.5125,588,1001,2.678321678,2,8.387612388
1,321,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.490196069,0.017647059,13.28,0.635542169,5.566216867,13.28,211,332,2.629518072,3,8.704819277
2,2345,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,18,27,-0.199999996,0.009052505,8.884057971,0.517128874,3.760474738,8.884057971,317,613,2.199021207,3,8.109298532
3,4321,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,35,26,0.147540981,0.00999181,12.43333333,0.529490617,5.18512958,12.43333333,395,746,2.325737265,7,8.183646113
4,432,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,35,26,0.147540981,0.00999181,12.43333333,0.529490617,5.18512958,12.43333333,395,746,2.325737265,7,8.183646113
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,48,11,0.627118633,0.010481435,10.52307692,0.516081871,4.415663518,10.52307692,353,684,2.305555556,3,8.229532164
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,32,10,0.523809511,0.007902164,13.95555556,0.584394904,5.815980184,13.95555556,367,628,2.445859873,1,8.463375796
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,59,6,0.815384603,0.008181246,10.16842105,0.526915114,4.278134467,10.16842105,509,966,2.342650104,5,8.224637681
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,7,0,0.999999857,0.003341289,10.23076923,0.45112782,4.27275882,10.23076923,120,266,2.304511278,1,7.87593985
9,4741,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,19,46,-0.415384609,0.012700274,12.28,0.576547231,5.142618893,12.28,354,614,2.43485342,6,8.335504886
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,12,10,0.090909087,0.012888108,8.037037037,0.447004608,3.393616658,8.037037037,97,217,2.184331797,5,7.866359447
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,27,15,0.285714279,0.007148936,11.75,0.464095745,4.885638298,11.75,349,752,2.215425532,7,7.8125
12,6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,20,3,0.739130403,0.008873457,15.19047619,0.529780564,6.288102702,15.19047619,169,319,2.272727273,1,8.12539185
13,6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,15,10,0.199999992,0.005950964,14.5,0.339655172,5.935862069,14.5,197,580,1.939655172,6,7.243103448
14,7050,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,21,15,0.166666662,0.008718818,11.66666667,0.457142857,4.84952381,11.66666667,240,525,2.182857143,1,7.864761905
15,7511.8,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,22,26,-0.083333332,0.009533267,12.79245283,0.408554572,5.280402961,12.79245283,277,678,2.03539823,27,7.426253687
16,7973.6,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,32,25,0.122807015,0.011240387,14.04545455,0.495145631,5.816240071,14.04545455,306,618,2.339805825,9,8.205501618
17,8435.4,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,62,32,0.319148933,0.010006387,14.77922078,0.544815466,6.129614498,14.77922078,620,1138,2.322495606,1,8.25483304
